               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10428,             0.05888,             0.02757,             0.11744,            0.070493,            0.060998,            0.016343,            0.068069,             0.02765,            0.016127,            0.070263,           0.0033041,           0.0033041
                   1,            0.087603,            0.073249,            0.025063,             0.75657,             0.12736,             0.13856,            0.048677,            0.059506,            0.023135,            0.012008,            0.040132,            0.006506,            0.006506
                   2,            0.078351,            0.069048,             0.02328,             0.17709,             0.28616,             0.18235,            0.056314,            0.060075,            0.017606,             0.01233,           0.0098683,           0.0095759,           0.0095759
                   3,            0.072009,            0.059434,            0.021378,             0.21504,             0.41719,             0.25981,            0.086222,            0.050857,            0.017033,            0.012127,            0.009406,            0.009406,            0.009406
                   4,            0.070006,             0.06111,             0.02174,              0.1952,             0.44121,             0.21238,            0.091535,            0.049364,            0.017746,            0.010308,            0.009406,            0.009406,            0.009406
                   5,            0.062993,            0.063899,            0.019719,             0.19382,             0.35273,             0.21929,            0.079859,            0.050288,            0.016829,           0.0082257,            0.009208,            0.009208,            0.009208
                   6,            0.060294,            0.063029,               0.018,             0.52284,             0.44719,             0.46587,             0.14405,            0.044017,            0.016637,           0.0077598,             0.00901,             0.00901,             0.00901
                   7,            0.055689,            0.059344,            0.015918,             0.50946,             0.37665,             0.47136,              0.2067,            0.033952,            0.017016,           0.0073512,            0.008812,            0.008812,            0.008812
                   8,            0.055179,            0.059013,            0.014651,             0.62349,             0.41667,             0.50531,             0.22128,            0.034701,            0.016359,            0.006681,            0.008614,            0.008614,            0.008614
                   9,            0.053765,            0.063255,            0.013115,             0.50286,             0.48249,             0.47746,             0.21152,            0.031045,            0.016032,           0.0059882,            0.008416,            0.008416,            0.008416
                  10,            0.051072,            0.055809,            0.013034,             0.64257,             0.55686,             0.64908,               0.301,            0.029676,            0.015247,            0.005219,            0.008218,            0.008218,            0.008218
                  11,            0.053547,            0.067034,            0.011184,             0.49564,             0.50542,             0.46511,              0.2041,             0.04052,            0.016399,           0.0046259,             0.00802,             0.00802,             0.00802
                  12,            0.049167,            0.056797,            0.010805,              0.4466,             0.49848,                0.49,              0.2502,            0.029554,            0.015617,           0.0058818,            0.007822,            0.007822,            0.007822
                  13,            0.046298,            0.058912,            0.011818,              0.7503,             0.46751,             0.57439,             0.29931,            0.029328,            0.017534,           0.0052663,            0.007624,            0.007624,            0.007624
                  14,            0.047908,            0.064001,              0.0106,              0.5111,              0.4783,             0.46898,             0.25394,             0.02718,            0.017443,           0.0066488,            0.007426,            0.007426,            0.007426
                  15,            0.045789,            0.060618,           0.0089531,             0.49773,             0.62208,             0.59286,             0.26014,            0.031247,              0.0158,            0.005358,            0.007228,            0.007228,            0.007228
                  16,            0.043281,            0.051321,           0.0092646,             0.79119,             0.43003,             0.59395,             0.29397,            0.027495,            0.017933,           0.0047828,             0.00703,             0.00703,             0.00703
                  17,            0.043873,             0.05754,           0.0073402,             0.75413,             0.42957,             0.55971,             0.26041,            0.029507,            0.016933,           0.0048966,            0.006832,            0.006832,            0.006832
                  18,            0.044946,             0.05417,            0.008625,             0.59573,             0.54769,             0.62032,             0.27072,            0.026786,            0.015077,           0.0036426,            0.006634,            0.006634,            0.006634
