               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096221,            0.028212,                   0,            0.032419,             0.13043,            0.038597,            0.009313,            0.066294,            0.022601,                   0,              0.0704,           0.0032889,           0.0032889
                   1,            0.079356,            0.023957,                   0,            0.069407,             0.26087,            0.073199,             0.01511,            0.062495,            0.015851,                   0,            0.039744,           0.0059666,           0.0059666
                   2,            0.077575,             0.01991,                   0,             0.14741,             0.45652,             0.13756,            0.036939,             0.06114,            0.012013,                   0,           0.0084288,           0.0079844,           0.0079844
                   3,            0.075064,            0.018129,                   0,             0.38165,             0.53678,             0.41525,             0.13855,            0.048656,            0.011346,                   0,             0.00703,             0.00703,             0.00703
                   4,            0.061999,            0.018144,                   0,             0.46425,             0.63043,             0.50901,             0.18206,            0.044428,            0.010393,                   0,             0.00703,             0.00703,             0.00703
                   5,            0.056056,            0.017885,                   0,             0.64023,             0.76087,             0.66299,             0.23325,            0.039999,           0.0092302,                   0,             0.00604,             0.00604,             0.00604
                   6,             0.05107,            0.017177,                   0,             0.55457,             0.82609,              0.6848,             0.34871,            0.035244,           0.0090386,                   0,             0.00505,             0.00505,             0.00505
                   7,             0.04455,            0.018207,                   0,             0.59373,             0.73913,             0.71224,             0.38867,            0.033874,           0.0088158,                   0,             0.00406,             0.00406,             0.00406
                   8,            0.043486,             0.01631,                   0,             0.69247,             0.73913,             0.79443,             0.40286,            0.030463,           0.0082662,                   0,             0.00307,             0.00307,             0.00307
                   9,            0.040678,             0.01608,                   0,             0.77541,             0.82609,             0.83864,             0.49275,            0.027231,           0.0081276,                   0,             0.00208,             0.00208,             0.00208
